"상품군별(1)","시점",인터넷쇼핑,모바일쇼핑
"컴퓨터 및 주변기기","2017.01",288391,133993
"컴퓨터 및 주변기기","2017.02",329143,146200
"컴퓨터 및 주변기기","2017.03",322089,151262
"컴퓨터 및 주변기기","2017.04",251604,116675
"컴퓨터 및 주변기기","2017.05",241871,109053
"컴퓨터 및 주변기기","2017.06",262908,113811
"컴퓨터 및 주변기기","2017.07",252949,128025
"컴퓨터 및 주변기기","2017.08",280831,135562
"컴퓨터 및 주변기기","2017.09",270647,128865
"컴퓨터 및 주변기기","2017.10",235350,118174
"컴퓨터 및 주변기기","2017.11",302907,157832
"컴퓨터 및 주변기기","2017.12",320177,155301
"컴퓨터 및 주변기기","2018.01",324233,187441
"컴퓨터 및 주변기기","2018.02",275786,177621
"컴퓨터 및 주변기기","2018.03",310948,193113
"컴퓨터 및 주변기기","2018.04",243815,165240
"컴퓨터 및 주변기기","2018.05",237559,166676
"컴퓨터 및 주변기기","2018.06",220404,151440
"컴퓨터 및 주변기기","2018.07",239475,164775
"컴퓨터 및 주변기기","2018.08",249200,169705
"컴퓨터 및 주변기기","2018.09",226280,155899
"컴퓨터 및 주변기기","2018.10",254118,165626
"컴퓨터 및 주변기기","2018.11",275284,192882
"컴퓨터 및 주변기기","2018.12",294467,206895
"컴퓨터 및 주변기기","2019.01",329496,232016
"컴퓨터 및 주변기기","2019.02",305306,237163
"컴퓨터 및 주변기기","2019.03",313340,219156
"컴퓨터 및 주변기기","2019.04",279362,189807
"컴퓨터 및 주변기기","2019.05",263783,176325
"컴퓨터 및 주변기기","2019.06",240539,148657
"컴퓨터 및 주변기기","2019.07",271299,171823
"컴퓨터 및 주변기기","2019.08",269744,178221
"컴퓨터 및 주변기기","2019.09",261053,174623
"컴퓨터 및 주변기기","2019.10",274936,170182
"컴퓨터 및 주변기기","2019.11",306368,221639
"컴퓨터 및 주변기기","2019.12",339917,214960
"컴퓨터 및 주변기기","2020.01",332810,273459
"컴퓨터 및 주변기기","2020.02",358997,315829
"컴퓨터 및 주변기기","2020.03",401374,357883
"컴퓨터 및 주변기기","2020.04",388215,331746
"컴퓨터 및 주변기기","2020.05",323924,290304
"컴퓨터 및 주변기기","2020.06",328080,256409
"컴퓨터 및 주변기기","2020.07",342726,284750
"컴퓨터 및 주변기기","2020.08",340705,314597
"컴퓨터 및 주변기기","2020.09",379361,332423
"컴퓨터 및 주변기기","2020.10",339603,276244
"컴퓨터 및 주변기기","2020.11",394626,341688
"컴퓨터 및 주변기기","2020.12",499998,415380
"컴퓨터 및 주변기기","2021.01",439730,446647
"컴퓨터 및 주변기기","2021.02",413960,435721
"컴퓨터 및 주변기기","2021.03",448924,422166
"컴퓨터 및 주변기기","2021.04",385886,346865
"컴퓨터 및 주변기기","2021.05",358402,370299
"컴퓨터 및 주변기기","2021.06",358087,305492
"컴퓨터 및 주변기기","2021.07",398976,352086
"컴퓨터 및 주변기기","2021.08",405435,368794
"컴퓨터 및 주변기기","2021.09",361370,374921
"컴퓨터 및 주변기기","2021.10",389970,339560
"컴퓨터 및 주변기기","2021.11",440303,392196
"컴퓨터 및 주변기기","2021.12",504938,456349
"컴퓨터 및 주변기기","2022.01",426178,430931
"컴퓨터 및 주변기기","2022.02",442616,501035
"컴퓨터 및 주변기기","2022.03",436962,458719
"컴퓨터 및 주변기기","2022.04",361297,355706
"컴퓨터 및 주변기기","2022.05",360368,373986
"컴퓨터 및 주변기기","2022.06",329328,308813
"컴퓨터 및 주변기기","2022.07",353768,345344
"컴퓨터 및 주변기기","2022.08",357832,368174
"컴퓨터 및 주변기기","2022.09",337087,347713
"컴퓨터 및 주변기기","2022.10",344168,327593
"컴퓨터 및 주변기기","2022.11",397312,403671
"컴퓨터 및 주변기기","2022.12",412450,350329
"컴퓨터 및 주변기기","2023.01",375940,410682
"컴퓨터 및 주변기기","2023.02",423513,465802
"컴퓨터 및 주변기기","2023.03",437404,428129
"컴퓨터 및 주변기기","2023.04",347754,330998
"컴퓨터 및 주변기기","2023.05",341733,370133
"컴퓨터 및 주변기기","2023.06",328413,313273
"컴퓨터 및 주변기기","2023.07",338837,337786
"컴퓨터 및 주변기기","2023.08",336170,341010
"컴퓨터 및 주변기기","2023.09",318355,327212
"컴퓨터 및 주변기기","2023.10",326080,311758
"컴퓨터 및 주변기기","2023.11",373633,384270
"컴퓨터 및 주변기기","2023.12",378497,361998
"컴퓨터 및 주변기기","2024.01",439597,449009
"컴퓨터 및 주변기기","2024.02",402304,440779
"컴퓨터 및 주변기기","2024.03",399974,432423
"컴퓨터 및 주변기기","2024.04",344117,346251
"컴퓨터 및 주변기기","2024.05",332596,361813
"컴퓨터 및 주변기기","2024.06",359011,314339
"컴퓨터 및 주변기기","2024.07",315227,312830
"컴퓨터 및 주변기기","2024.08",267523,320119
"컴퓨터 및 주변기기","2024.09",259703,316276
"컴퓨터 및 주변기기","2024.10",269950,299854
"컴퓨터 및 주변기기","2024.11 p)",324308,404879
"컴퓨터 및 주변기기","2024.12 p)",339852,349240
"가전·전자·통신기기","2017.01",307496,294626
"가전·전자·통신기기","2017.02",328088,298786
"가전·전자·통신기기","2017.03",349185,318541
"가전·전자·통신기기","2017.04",366894,349814
"가전·전자·통신기기","2017.05",417717,443900
"가전·전자·통신기기","2017.06",366554,385920
"가전·전자·통신기기","2017.07",432760,494107
"가전·전자·통신기기","2017.08",359011,399471
"가전·전자·통신기기","2017.09",343507,363151
"가전·전자·통신기기","2017.10",333413,394994
"가전·전자·통신기기","2017.11",462529,485981
"가전·전자·통신기기","2017.12",387969,427298
"가전·전자·통신기기","2018.01",398999,459257
"가전·전자·통신기기","2018.02",351716,418685
"가전·전자·통신기기","2018.03",435766,510861
"가전·전자·통신기기","2018.04",420663,524596
"가전·전자·통신기기","2018.05",447810,578323
"가전·전자·통신기기","2018.06",424143,539531
"가전·전자·통신기기","2018.07",511557,676637
"가전·전자·통신기기","2018.08",424778,535814
"가전·전자·통신기기","2018.09",340868,451538
"가전·전자·통신기기","2018.10",429553,559968
"가전·전자·통신기기","2018.11",517411,664944
"가전·전자·통신기기","2018.12",470859,573086
"가전·전자·통신기기","2019.01",451529,611551
"가전·전자·통신기기","2019.02",403124,578935
"가전·전자·통신기기","2019.03",568865,756020
"가전·전자·통신기기","2019.04",523731,610496
"가전·전자·통신기기","2019.05",577082,719082
"가전·전자·통신기기","2019.06",488946,688858
"가전·전자·통신기기","2019.07",522133,708286
"가전·전자·통신기기","2019.08",511230,687235
"가전·전자·통신기기","2019.09",462355,634009
"가전·전자·통신기기","2019.10",525905,674287
"가전·전자·통신기기","2019.11",568012,789341
"가전·전자·통신기기","2019.12",518944,694448
"가전·전자·통신기기","2020.01",400922,662108
"가전·전자·통신기기","2020.02",494994,755756
"가전·전자·통신기기","2020.03",518520,780014
"가전·전자·통신기기","2020.04",507840,738910
"가전·전자·통신기기","2020.05",588332,927906
"가전·전자·통신기기","2020.06",553380,905941
"가전·전자·통신기기","2020.07",502863,816872
"가전·전자·통신기기","2020.08",548239,987774
"가전·전자·통신기기","2020.09",462687,849047
"가전·전자·통신기기","2020.10",547418,987672
"가전·전자·통신기기","2020.11",663471,1161320
"가전·전자·통신기기","2020.12",611410,1105244
"가전·전자·통신기기","2021.01",610054,1137541
"가전·전자·통신기기","2021.02",512864,981223
"가전·전자·통신기기","2021.03",612790,1052288
"가전·전자·통신기기","2021.04",546939,976497
"가전·전자·통신기기","2021.05",575594,1118449
"가전·전자·통신기기","2021.06",563485,1072052
"가전·전자·통신기기","2021.07",658089,1256457
"가전·전자·통신기기","2021.08",576436,1088677
"가전·전자·통신기기","2021.09",514785,1056165
"가전·전자·통신기기","2021.10",661197,1363174
"가전·전자·통신기기","2021.11",645257,1354614
"가전·전자·통신기기","2021.12",637081,1122314
"가전·전자·통신기기","2022.01",539706,1107412
"가전·전자·통신기기","2022.02",599163,1202958
"가전·전자·통신기기","2022.03",603523,1058191
"가전·전자·통신기기","2022.04",556310,998166
"가전·전자·통신기기","2022.05",579325,1137206
"가전·전자·통신기기","2022.06",548771,1135013
"가전·전자·통신기기","2022.07",567002,1207117
"가전·전자·통신기기","2022.08",587503,1203957
"가전·전자·통신기기","2022.09",459133,1160551
"가전·전자·통신기기","2022.10",653866,1420255
"가전·전자·통신기기","2022.11",587368,1275010
"가전·전자·통신기기","2022.12",572088,1175938
"가전·전자·통신기기","2023.01",506317,1166020
"가전·전자·통신기기","2023.02",551798,1207891
"가전·전자·통신기기","2023.03",501534,1083240
"가전·전자·통신기기","2023.04",478667,1029660
"가전·전자·통신기기","2023.05",551758,1250125
"가전·전자·통신기기","2023.06",529632,1186718
"가전·전자·통신기기","2023.07",542166,1264336
"가전·전자·통신기기","2023.08",574268,1277518
"가전·전자·통신기기","2023.09",451222,1047231
"가전·전자·통신기기","2023.10",658521,1526898
"가전·전자·통신기기","2023.11",617863,1507507
"가전·전자·통신기기","2023.12",497098,1270534
"가전·전자·통신기기","2024.01",560217,1370322
"가전·전자·통신기기","2024.02",467828,1240926
"가전·전자·통신기기","2024.03",454982,1185981
"가전·전자·통신기기","2024.04",496135,1174102
"가전·전자·통신기기","2024.05",529923,1259795
"가전·전자·통신기기","2024.06",514422,1302222
"가전·전자·통신기기","2024.07",535828,1429925
"가전·전자·통신기기","2024.08",410769,1241866
"가전·전자·통신기기","2024.09",470987,1393574
"가전·전자·통신기기","2024.10",476074,1309005
"가전·전자·통신기기","2024.11 p)",496951,1400869
"가전·전자·통신기기","2024.12 p)",420100,1259257
"서적","2017.01",103851,47379
"서적","2017.02",106649,47680
"서적","2017.03",126052,59519
"서적","2017.04",82291,40127
"서적","2017.05",78606,35774
"서적","2017.06",78615,37657
"서적","2017.07",95733,47351
"서적","2017.08",100090,49898
"서적","2017.09",88774,47891
"서적","2017.10",72439,41293
"서적","2017.11",87946,44577
"서적","2017.12",103589,58092
"서적","2018.01",107123,64132
"서적","2018.02",93094,54689
"서적","2018.03",121120,70476
"서적","2018.04",91304,52865
"서적","2018.05",81391,47734
"서적","2018.06",72096,45257
"서적","2018.07",90323,57737
"서적","2018.08",91948,57276
"서적","2018.09",77468,50715
"서적","2018.10",80587,51156
"서적","2018.11",86299,56107
"서적","2018.12",102843,65657
"서적","2019.01",100029,73920
"서적","2019.02",90350,63967
"서적","2019.03",114766,81975
"서적","2019.04",86671,61239
"서적","2019.05",78172,55150
"서적","2019.06",70403,52055
"서적","2019.07",89520,66886
"서적","2019.08",88775,65476
"서적","2019.09",82034,65084
"서적","2019.10",75696,58084
"서적","2019.11",84329,63125
"서적","2019.12",99281,79550
"서적","2020.01",86899,80101
"서적","2020.02",99913,86838
"서적","2020.03",140036,120418
"서적","2020.04",107916,96549
"서적","2020.05",94421,76383
"서적","2020.06",94184,76807
"서적","2020.07",106713,86125
"서적","2020.08",111455,95394
"서적","2020.09",118997,103969
"서적","2020.10",93412,79229
"서적","2020.11",102210,84424
"서적","2020.12",137150,119235
"서적","2021.01",133659,125811
"서적","2021.02",119527,100736
"서적","2021.03",144243,125426
"서적","2021.04",101344,90343
"서적","2021.05",100641,87594
"서적","2021.06",93793,87146
"서적","2021.07",111844,110827
"서적","2021.08",114727,103920
"서적","2021.09",103560,103509
"서적","2021.10",95322,88181
"서적","2021.11",115785,91145
"서적","2021.12",133369,125025
"서적","2022.01",114031,127859
"서적","2022.02",114110,114715
"서적","2022.03",145116,143502
"서적","2022.04",107657,102511
"서적","2022.05",108211,91712
"서적","2022.06",91335,86468
"서적","2022.07",109244,102619
"서적","2022.08",113427,105752
"서적","2022.09",101357,100821
"서적","2022.10",88226,83653
"서적","2022.11",106473,92335
"서적","2022.12",110666,108598
"서적","2023.01",98625,116468
"서적","2023.02",110799,105771
"서적","2023.03",127559,131571
"서적","2023.04",90479,93277
"서적","2023.05",100972,89264
"서적","2023.06",84524,85082
"서적","2023.07",100858,107898
"서적","2023.08",100782,105234
"서적","2023.09",90717,96053
"서적","2023.10",80578,85572
"서적","2023.11",97660,96860
"서적","2023.12",105457,126297
"서적","2024.01",100593,132183
"서적","2024.02",97750,112127
"서적","2024.03",123993,144454
"서적","2024.04",89172,101982
"서적","2024.05",99780,97466
"서적","2024.06",80615,92859
"서적","2024.07",108258,117984
"서적","2024.08",97146,114151
"서적","2024.09",92226,111433
"서적","2024.10",88035,117294
"서적","2024.11 p)",101547,102962
"서적","2024.12 p)",104219,131593
"사무·문구","2017.01",37233,15959
"사무·문구","2017.02",41550,18854
"사무·문구","2017.03",45751,24255
"사무·문구","2017.04",41721,20233
"사무·문구","2017.05",39428,17810
"사무·문구","2017.06",37788,18181
"사무·문구","2017.07",35743,18084
"사무·문구","2017.08",38125,19625
"사무·문구","2017.09",39683,20792
"사무·문구","2017.10",37422,18898
"사무·문구","2017.11",44129,23812
"사무·문구","2017.12",50562,27303
"사무·문구","2018.01",46397,26473
"사무·문구","2018.02",46450,25271
"사무·문구","2018.03",51251,30649
"사무·문구","2018.04",41862,26145
"사무·문구","2018.05",39157,24464
"사무·문구","2018.06",36238,23319
"사무·문구","2018.07",37606,24920
"사무·문구","2018.08",37810,24461
"사무·문구","2018.09",33529,24862
"사무·문구","2018.10",41333,29782
"사무·문구","2018.11",43264,33099
"사무·문구","2018.12",50853,38890
"사무·문구","2019.01",42332,37433
"사무·문구","2019.02",37243,33966
"사무·문구","2019.03",43678,38063
"사무·문구","2019.04",44447,36190
"사무·문구","2019.05",38273,33876
"사무·문구","2019.06",32913,30694
"사무·문구","2019.07",36270,33219
"사무·문구","2019.08",36165,32838
"사무·문구","2019.09",35372,34068
"사무·문구","2019.10",38660,39956
"사무·문구","2019.11",42881,42511
"사무·문구","2019.12",49822,53476
"사무·문구","2020.01",43541,51694
"사무·문구","2020.02",47168,60230
"사무·문구","2020.03",47164,63087
"사무·문구","2020.04",44459,56577
"사무·문구","2020.05",44689,55196
"사무·문구","2020.06",46931,52884
"사무·문구","2020.07",46632,55914
"사무·문구","2020.08",42054,54050
"사무·문구","2020.09",48104,60473
"사무·문구","2020.10",51390,64019
"사무·문구","2020.11",57251,71347
"사무·문구","2020.12",71186,101731
"사무·문구","2021.01",52933,78502
"사무·문구","2021.02",48524,71327
"사무·문구","2021.03",59592,79747
"사무·문구","2021.04",56309,73990
"사무·문구","2021.05",49104,67085
"사무·문구","2021.06",49442,64297
"사무·문구","2021.07",46240,63807
"사무·문구","2021.08",47181,66240
"사무·문구","2021.09",48154,69751
"사무·문구","2021.10",56823,80771
"사무·문구","2021.11",64673,85887
"사무·문구","2021.12",78030,115831
"사무·문구","2022.01",53015,87726
"사무·문구","2022.02",49244,89158
"사무·문구","2022.03",55828,94881
"사무·문구","2022.04",56128,89084
"사무·문구","2022.05",47206,83605
"사무·문구","2022.06",49445,79893
"사무·문구","2022.07",48821,80577
"사무·문구","2022.08",51526,86417
"사무·문구","2022.09",52405,86677
"사무·문구","2022.10",60869,93471
"사무·문구","2022.11",70509,104942
"사무·문구","2022.12",81703,128385
"사무·문구","2023.01",54825,96972
"사무·문구","2023.02",58557,102917
"사무·문구","2023.03",69135,109050
"사무·문구","2023.04",60639,97223
"사무·문구","2023.05",54827,91509
"사무·문구","2023.06",54842,84150
"사무·문구","2023.07",54609,81848
"사무·문구","2023.08",57365,86225
"사무·문구","2023.09",55517,85382
"사무·문구","2023.10",62624,94806
"사무·문구","2023.11",75790,115371
"사무·문구","2023.12",80738,132219
"사무·문구","2024.01",64381,110076
"사무·문구","2024.02",57331,103836
"사무·문구","2024.03",67162,118031
"사무·문구","2024.04",61387,105658
"사무·문구","2024.05",55026,100168
"사무·문구","2024.06",50568,87618
"사무·문구","2024.07",55892,93578
"사무·문구","2024.08",54905,94039
"사무·문구","2024.09",51309,94932
"사무·문구","2024.10",62343,107963
"사무·문구","2024.11 p)",68989,119829
"사무·문구","2024.12 p)",78544,139902
"의복","2017.01",397422,467093
"의복","2017.02",382105,445567
"의복","2017.03",478990,563752
"의복","2017.04",441022,531625
"의복","2017.05",439084,539150
"의복","2017.06",394173,515569
"의복","2017.07",392273,495098
"의복","2017.08",338973,419251
"의복","2017.09",434408,525271
"의복","2017.10",439236,595469
"의복","2017.11",586462,857482
"의복","2017.12",458290,737601
"의복","2018.01",392385,571852
"의복","2018.02",336102,489051
"의복","2018.03",482845,680287
"의복","2018.04",447945,630323
"의복","2018.05",453370,648036
"의복","2018.06",410733,607131
"의복","2018.07",394750,597582
"의복","2018.08",326889,501473
"의복","2018.09",399362,604591
"의복","2018.10",493284,857624
"의복","2018.11",554222,927971
"의복","2018.12",509666,880877
"의복","2019.01",453476,653845
"의복","2019.02",384783,574960
"의복","2019.03",467275,770960
"의복","2019.04",464610,739473
"의복","2019.05",500106,778175
"의복","2019.06",440260,693361
"의복","2019.07",457448,682223
"의복","2019.08",347920,564575
"의복","2019.09",431788,755340
"의복","2019.10",509999,903280
"의복","2019.11",592593,1117449
"의복","2019.12",520303,942040
"의복","2020.01",320897,734345
"의복","2020.02",301806,684362
"의복","2020.03",347668,813004
"의복","2020.04",365979,793399
"의복","2020.05",392840,896853
"의복","2020.06",396757,896447
"의복","2020.07",343047,757485
"의복","2020.08",286795,647673
"의복","2020.09",360967,820640
"의복","2020.10",479629,1152610
"의복","2020.11",552723,1219551
"의복","2020.12",466430,1066008
"의복","2021.01",304546,820338
"의복","2021.02",257536,774700
"의복","2021.03",381946,1112270
"의복","2021.04",389865,1048461
"의복","2021.05",356514,1048361
"의복","2021.06",364538,1052065
"의복","2021.07",334011,964134
"의복","2021.08",267773,809471
"의복","2021.09",332776,1032435
"의복","2021.10",448603,1381096
"의복","2021.11",499606,1497011
"의복","2021.12",468695,1427194
"의복","2022.01",306188,1087342
"의복","2022.02",275368,974648
"의복","2022.03",373144,1298140
"의복","2022.04",406268,1362360
"의복","2022.05",401602,1346900
"의복","2022.06",378385,1261014
"의복","2022.07",326926,1193144
"의복","2022.08",296679,1023518
"의복","2022.09",353887,1257574
"의복","2022.10",477303,1535465
"의복","2022.11",517977,1569815
"의복","2022.12",506958,1546355
"의복","2023.01",331433,1145700
"의복","2023.02",363179,1116883
"의복","2023.03",465667,1477419
"의복","2023.04",450123,1335649
"의복","2023.05",456637,1434480
"의복","2023.06",454820,1258930
"의복","2023.07",393115,1232187
"의복","2023.08",356631,1028897
"의복","2023.09",448876,1149527
"의복","2023.10",531674,1623765
"의복","2023.11",636149,1763483
"의복","2023.12",517533,1505334
"의복","2024.01",379770,1147457
"의복","2024.02",423847,1123200
"의복","2024.03",429107,1443690
"의복","2024.04",448064,1470830
"의복","2024.05",427226,1399003
"의복","2024.06",451747,1323126
"의복","2024.07",402414,1240302
"의복","2024.08",362155,999351
"의복","2024.09",411669,1116919
"의복","2024.10",524142,1556269
"의복","2024.11 p)",661029,1757806
"의복","2024.12 p)",527686,1620098
"신발","2017.01",42529,61269
"신발","2017.02",44976,73655
"신발","2017.03",55799,97495
"신발","2017.04",54249,97379
"신발","2017.05",55797,104765
"신발","2017.06",54666,101494
"신발","2017.07",48228,92518
"신발","2017.08",40961,77350
"신발","2017.09",49838,90408
"신발","2017.10",47801,92565
"신발","2017.11",61475,114073
"신발","2017.12",52613,102315
"신발","2018.01",45709,85859
"신발","2018.02",40727,83720
"신발","2018.03",56004,113113
"신발","2018.04",55859,113580
"신발","2018.05",57571,115010
"신발","2018.06",55260,108990
"신발","2018.07",51664,106288
"신발","2018.08",38886,87067
"신발","2018.09",46884,92588
"신발","2018.10",50340,113895
"신발","2018.11",57508,130879
"신발","2018.12",54381,124855
"신발","2019.01",57560,102086
"신발","2019.02",53174,103257
"신발","2019.03",75702,131109
"신발","2019.04",78125,126046
"신발","2019.05",84205,133233
"신발","2019.06",84744,126674
"신발","2019.07",77272,127793
"신발","2019.08",59872,102668
"신발","2019.09",78129,122879
"신발","2019.10",82966,129679
"신발","2019.11",97033,154452
"신발","2019.12",97311,134564
"신발","2020.01",54230,128160
"신발","2020.02",59053,130839
"신발","2020.03",70872,156447
"신발","2020.04",84107,151065
"신발","2020.05",83799,187358
"신발","2020.06",91971,186704
"신발","2020.07",82793,161577
"신발","2020.08",61406,137508
"신발","2020.09",71103,147008
"신발","2020.10",79053,181125
"신발","2020.11",109037,203835
"신발","2020.12",83488,187901
"신발","2021.01",64255,141920
"신발","2021.02",70186,154038
"신발","2021.03",97134,217147
"신발","2021.04",92165,192141
"신발","2021.05",106967,210579
"신발","2021.06",115114,207522
"신발","2021.07",88639,184402
"신발","2021.08",84567,151193
"신발","2021.09",75751,179030
"신발","2021.10",84947,216769
"신발","2021.11",109030,231196
"신발","2021.12",103716,238136
"신발","2022.01",85092,178252
"신발","2022.02",74423,179964
"신발","2022.03",98582,228639
"신발","2022.04",100280,239787
"신발","2022.05",124136,245066
"신발","2022.06",96552,241975
"신발","2022.07",83854,222553
"신발","2022.08",105474,190471
"신발","2022.09",85440,212074
"신발","2022.10",87001,241693
"신발","2022.11",122551,254545
"신발","2022.12",106666,267902
"신발","2023.01",96237,180647
"신발","2023.02",111566,193134
"신발","2023.03",118103,252523
"신발","2023.04",114715,227138
"신발","2023.05",115789,255996
